名字,排名,省份
清华大学,1,北京
北京大学,2,北京
浙江大学,3,浙江
上海交通大学,4,上海
南京大学,5,江苏
复旦大学,6,上海
中国科学技术大学,7,安徽
华中科技大学,8,湖北
武汉大学,9,湖北
西安交通大学,10,陕西
哈尔滨工业大学,11,黑龙江
中山大学,12,广东
北京师范大学,13,北京
四川大学,14,四川
北京航空航天大学,15,北京
同济大学,16,上海
东南大学,17,江苏
中国人民大学,18,北京
北京理工大学,19,北京
南开大学,20,天津
山东大学,21,山东
天津大学,22,天津
中南大学,23,湖南
吉林大学,24,吉林
西北工业大学,25,陕西
厦门大学,26,福建
华南理工大学,27,广东
大连理工大学,28,辽宁
华东师范大学,29,上海
中国农业大学,30,北京
电子科技大学,31,四川
湖南大学,32,湖南
北京科技大学,33,北京
重庆大学,34,重庆
南京航空航天大学,35,江苏
东北大学,36,辽宁
南京理工大学,37,江苏
西安电子科技大学,38,陕西
兰州大学,39,甘肃
北京交通大学,40,北京
南方科技大学,41,广东
华中农业大学,42,湖北
上海大学,43,上海
苏州大学,44,江苏
华东理工大学,45,上海
华中师范大学,46,湖北
南京师范大学,47,江苏
中国地质大学（武汉）,48,湖北
东北师范大学,49,吉林
哈尔滨工程大学,50,黑龙江
西南交通大学,51,四川
南京农业大学,52,江苏
郑州大学,53,河南
北京邮电大学,54,北京
武汉理工大学,55,湖北
中国海洋大学,56,山东
暨南大学,57,广东
中国石油大学（北京）,58,北京
北京工业大学,59,北京
河海大学,60,江苏
中国矿业大学,61,江苏
北京化工大学,62,北京
中国地质大学（北京）,63,北京
西北大学,64,陕西
江南大学,65,江苏
上海科技大学,66,上海
中国石油大学（华东）,67,山东
西南大学,68,重庆
中国矿业大学（北京）,69,北京
深圳大学,70,广东
陕西师范大学,71,陕西
江苏大学,72,江苏
浙江工业大学,73,浙江
北京林业大学,74,北京
华南师范大学,75,广东
西北农林科技大学,76,陕西
扬州大学,77,江苏
南昌大学,78,江西
福州大学,79,福建
华北电力大学,80,北京
东华大学,81,上海
合肥工业大学,82,安徽
云南大学,83,云南
宁波大学,84,浙江
首都师范大学,85,北京
湖南师范大学,86,湖南
南京工业大学,87,江苏
长安大学,88,陕西
福建师范大学,89,福建
安徽大学,90,安徽
南京信息工程大学,91,江苏
上海理工大学,92,上海
华南农业大学,93,广东
广西大学,94,广西
南京邮电大学,95,江苏
燕山大学,95,河北
河南大学,97,河南
湖北大学,98,湖北
广州大学,99,广东
青岛大学,100,山东
湘潭大学,101,湖南
广东工业大学,102,广东
浙江师范大学,103,浙江
大连海事大学,104,辽宁
上海师范大学,105,上海
杭州电子科技大学,106,浙江
武汉科技大学,107,湖北
南京林业大学,108,江苏
河北工业大学,109,天津
山东师范大学,109,山东
浙江理工大学,111,浙江
山西大学,112,山西
太原理工大学,113,山西
东北林业大学,114,黑龙江
河北大学,115,河北
东北农业大学,116,黑龙江
江西师范大学,117,江西
西安建筑科技大学,117,陕西
杭州师范大学,119,浙江
内蒙古大学,120,内蒙古
福建农林大学,121,福建
江苏师范大学,122,江苏
西安理工大学,123,陕西
辽宁大学,124,辽宁
北京建筑大学,125,北京
安徽师范大学,126,安徽
河南师范大学,127,河南
长沙理工大学,128,湖南
昆明理工大学,129,云南
新疆大学,129,新疆
汕头大学,131,广东
西南石油大学,132,四川
山东科技大学,133,山东
河南农业大学,134,河南
贵州大学,135,贵州
华侨大学,136,福建
河北师范大学,137,河北
黑龙江大学,138,黑龙江
中国计量大学,138,浙江
陕西科技大学,140,陕西
沈阳农业大学,141,辽宁
天津师范大学,142,天津
湖北工业大学,143,湖北
海南大学,144,海南
济南大学,145,山东
山东农业大学,146,山东
常州大学,147,江苏
温州大学,147,浙江
重庆邮电大学,149,重庆
齐鲁工业大学,150,山东
曲阜师范大学,151,山东
武汉工程大学,152,湖北
湖南农业大学,153,湖南
天津工业大学,154,天津
安徽农业大学,155,安徽
江苏科技大学,156,江苏
浙江农林大学,157,浙江
北方工业大学,158,北京
广西师范大学,159,广西
吉林农业大学,160,吉林
青岛科技大学,161,山东
四川农业大学,162,四川
西北师范大学,162,甘肃
南通大学,164,江苏
石河子大学,165,新疆
上海海洋大学,166,上海
三峡大学,167,湖北
安徽工业大学,168,安徽
河南理工大学,169,河南
宁夏大学,170,宁夏
西安科技大学,171,陕西
上海海事大学,172,上海
成都理工大学,173,四川
南昌航空大学,174,江西
长春理工大学,175,吉林
辽宁师范大学,176,辽宁
西南科技大学,177,四川
河北农业大学,178,河北
中北大学,179,山西
青海大学,180,青海
集美大学,181,福建
武汉纺织大学,182,湖北
天津理工大学,183,天津
四川师范大学,184,四川
云南师范大学,185,云南
浙江海洋大学,185,浙江
天津科技大学,187,天津
湖南科技大学,188,湖南
重庆交通大学,189,重庆
长江大学,190,湖北
兰州理工大学,191,甘肃
山东理工大学,191,山东
安徽理工大学,193,安徽
烟台大学,193,山东
大连工业大学,195,辽宁
哈尔滨理工大学,196,黑龙江
沈阳师范大学,196,辽宁
延边大学,198,吉林
内蒙古农业大学,199,内蒙古
河南科技大学,200,河南
南华大学,201,湖南
哈尔滨师范大学,202,黑龙江
石家庄铁道大学,203,河北
北京信息科技大学,204,北京
沈阳建筑大学,205,辽宁
青岛农业大学,206,山东
上海工程技术大学,207,上海
河南工业大学,208,河南
江西理工大学,209,江西
中南林业科技大学,210,湖南
北京农学院,211,北京
重庆师范大学,212,重庆
江西农业大学,213,江西
兰州交通大学,213,甘肃
西藏大学,215,西藏
沈阳工业大学,216,辽宁
华东交通大学,217,江西
沈阳航空航天大学,218,辽宁
西安邮电大学,219,陕西
东华理工大学,220,江西
东北电力大学,221,吉林
上海电力大学,222,上海
鲁东大学,223,山东
国际关系学院,224,北京
大连大学,225,辽宁
苏州科技大学,226,江苏
河北科技大学,227,河北
渤海大学,228,辽宁
华北理工大学,229,河北
甘肃农业大学,230,甘肃
北京印刷学院,231,北京
重庆理工大学,232,重庆
西安石油大学,232,陕西
海南师范大学,234,海南
上海应用技术大学,235,上海
桂林电子科技大学,236,广西
聊城大学,237,山东
郑州轻工业大学,237,河南
武汉轻工大学,239,湖北
安徽建筑大学,240,安徽
东北石油大学,240,黑龙江
成都信息工程大学,242,四川
东莞理工学院,243,广东
大连交通大学,244,辽宁
山东建筑大学,245,山东
西华师范大学,246,四川
西安工程大学,247,陕西
贵州师范大学,248,贵州
成都大学,249,四川
西安工业大学,250,陕西
浙大宁波理工学院,251,浙江
佛山科学技术学院,252,广东
山西农业大学,253,山西
青岛理工大学,254,山东
华北水利水电大学,255,河南
厦门理工学院,256,福建
北京电子科技学院,257,北京
南京工程学院,258,江苏
北京联合大学,259,北京
长春工业大学,260,吉林
辽宁工程技术大学,261,辽宁
湖州师范学院,262,浙江
江汉大学,263,湖北
辽宁石油化工大学,264,辽宁
青海师范大学,265,青海
吉林师范大学,266,吉林
北京石油化工学院,267,北京
内蒙古师范大学,267,内蒙古
中国民航大学,269,天津
辽宁工业大学,270,辽宁
湖南工业大学,271,湖南
延安大学,272,陕西
西华大学,273,四川
桂林理工大学,274,广西
河北工程大学,275,河北
沈阳化工大学,275,辽宁
绍兴文理学院,277,浙江
安徽工程大学,278,安徽
浙江科技学院,279,浙江
盐城工学院,280,江苏
盐城师范学院,281,江苏
山西师范大学,282,山西
赣南师范大学,283,江西
大连海洋大学,284,辽宁
内蒙古工业大学,285,内蒙古
淮阴师范学院,286,江苏
信阳师范学院,287,河南
安庆师范大学,288,安徽
合肥学院,289,安徽
云南农业大学,290,云南
辽宁科技大学,291,辽宁
南宁师范大学,292,广西
沈阳理工大学,293,辽宁
内蒙古民族大学,294,内蒙古
新疆师范大学,295,新疆
湖北师范大学,296,湖北
重庆科技学院,297,重庆
淮阴工学院,297,江苏
吉林建筑大学,297,吉林
中原工学院,300,河南
北华大学,301,吉林
嘉兴学院,301,浙江
临沂大学,303,山东
吉首大学,304,湖南
景德镇陶瓷大学,305,江西
广东技术师范大学,306,广东
淮北师范大学,307,安徽
广东海洋大学,308,广东
长江师范学院,309,重庆
宁波工程学院,309,浙江
上海海关学院,311,上海
黑龙江八一农垦大学,312,黑龙江
江西科技师范大学,313,江西
安阳师范学院,314,河南
西南林业大学,314,云南
新疆农业大学,316,新疆
常熟理工学院,317,江苏
闽南师范大学,318,福建
天津城建大学,318,天津
福建工程学院,320,福建
沈阳大学,321,辽宁
五邑大学,322,广东
内蒙古科技大学,323,内蒙古
江苏理工学院,324,江苏
上海第二工业大学,325,上海
浙大城市学院,326,浙江
太原科技大学,327,山西
岭南师范学院,328,广东
天津农学院,329,天津
塔里木大学,330,新疆
南京晓庄学院,331,江苏
大理大学,332,云南
井冈山大学,332,江西
湖南理工学院,334,湖南
江苏海洋大学,334,江苏
台州学院,336,浙江
闽江学院,337,福建
黄冈师范学院,338,湖北
重庆文理学院,339,重庆
浙江万里学院,339,浙江
齐齐哈尔大学,341,黑龙江
四川轻化工大学,341,四川
南昌工程学院,343,江西
天津职业技术师范大学,344,天津
上海电机学院,345,上海
湖北科技学院,346,湖北
陕西理工大学,347,陕西
内江师范学院,348,四川
合肥师范学院,349,安徽
阜阳师范大学,350,安徽
南阳师范学院,351,河南
贵州师范学院,352,贵州
徐州工程学院,353,江苏
洛阳师范学院,354,河南
仲恺农业工程学院,354,广东
长春师范大学,356,吉林
湖北文理学院,357,湖北
宝鸡文理学院,358,陕西
安徽科技学院,359,安徽
长沙学院,360,湖南
衡阳师范学院,361,湖南
无锡学院,362,江苏
滨州学院,363,山东
长春大学,364,吉林
黑龙江科技大学,365,黑龙江
泉州师范学院,365,福建
河北科技师范学院,367,河北
广西科技大学,368,广西
江苏第二师范学院,369,江苏
西藏农牧学院,370,西藏
贵州理工学院,371,贵州
咸阳师范学院,371,陕西
九江学院,373,江西
绵阳师范学院,374,四川
湖北汽车工业学院,375,湖北
常州工学院,376,江苏
金陵科技学院,377,江苏
黑龙江工程学院,378,黑龙江
乐山师范学院,378,四川
潍坊学院,380,山东
佳木斯大学,381,黑龙江
唐山师范学院,382,河北
山东交通学院,383,山东
广东石油化工学院,384,广东
河北建筑工程学院,384,河北
湖北工程学院,386,湖北
惠州学院,387,广东
成都工业学院,388,四川
丽水学院,388,浙江
黄淮学院,390,河南
许昌学院,391,河南
北华航天工业学院,392,河北
湖北第二师范学院,393,湖北
湖南第一师范学院,394,湖南
湖南文理学院,395,湖南
周口师范学院,396,河南
成都师范学院,397,四川
重庆三峡学院,397,重庆
铜仁学院,397,贵州
遵义师范学院,400,贵州
上饶师范学院,401,江西
商丘师范学院,402,河南
宜春学院,403,江西
浙江水利水电学院,403,浙江
滁州学院,405,安徽
吉林化工学院,406,吉林
德州学院,407,山东
肇庆学院,408,广东
泰山学院,409,山东
广东第二师范学院,410,广东
沈阳工程学院,411,辽宁
榆林学院,412,陕西
长春工程学院,413,吉林
洛阳理工学院,414,河南
韩山师范学院,415,广东
河北科技工程职业技术大学,416,河北
天水师范学院,416,甘肃
北部湾大学,418,广西
西安文理学院,418,陕西
齐鲁师范学院,420,山东
皖西学院,420,安徽
哈尔滨学院,422,黑龙江
湖南城市学院,423,湖南
通化师范学院,423,吉林
防灾科技学院,425,河北
宜宾学院,426,四川
河北工业职业技术大学,427,河北
兰州城市学院,428,甘肃
河南科技学院,429,河南
宁夏师范学院,430,宁夏
曲靖师范学院,430,云南
渭南师范学院,432,陕西
玉林师范学院,433,广西
南京特殊教育师范学院,434,江苏
华北科技学院,435,河北
唐山学院,436,河北
韶关学院,437,广东
河西学院,438,甘肃
黄山学院,438,安徽
中国民用航空飞行学院,440,四川
湖南工程学院,441,湖南
三明学院,442,福建
泰州学院,443,江苏
湖北理工学院,444,湖北
石家庄学院,444,河北
莆田学院,446,福建
龙岩学院,447,福建
内蒙古科技大学包头师范学院,448,内蒙古
安顺学院,449,贵州
南昌师范学院,449,江西
四川文理学院,451,四川
廊坊师范学院,452,河北
玉溪师范学院,452,云南
河南城建学院,454,河南
重庆第二师范学院,455,重庆
西昌学院,456,四川
凯里学院,457,贵州
牡丹江师范学院,457,黑龙江
四川旅游学院,459,四川
郑州师范学院,460,河南
大庆师范学院,461,黑龙江
攀枝花学院,461,四川
昆明学院,463,云南
衢州学院,464,浙江
白城师范学院,465,吉林
吉林工程技术师范学院,465,吉林
淮南师范学院,467,安徽
湖州学院,467,浙江
嘉应学院,467,广东
南阳理工学院,467,河南
营口理工学院,467,辽宁
商洛学院,472,陕西
陇东学院,473,甘肃
保定学院,474,河北
苏州城市学院,474,江苏
安康学院,476,陕西
湖南科技学院,477,湖南
山东管理学院,477,山东
贵阳学院,479,贵州
辽宁科技学院,480,辽宁
武夷学院,481,福建
鞍山师范学院,482,辽宁
湘南学院,483,湖南
六盘水师范学院,484,贵州
河南牧业经济学院,485,河南
平顶山学院,485,河南
贺州学院,487,广西
兰州工业学院,487,甘肃
宁德师范学院,489,福建
池州学院,490,安徽
黔南民族师范学院,491,贵州
太原师范学院,491,山西
宿州学院,493,安徽
山东石油化工学院,494,山东
海南热带海洋学院,495,海南
黑河学院,496,黑龙江
吉林农业科技学院,496,吉林
辽东学院,496,辽宁
山西大同大学,496,山西
西安航空学院,496,陕西
陕西学前师范学院,501,陕西
四川民族学院,501,四川
山东农业工程学院,503,山东
蚌埠学院,504,安徽
怀化学院,505,湖南
新余学院,506,江西
邵阳学院,507,湖南
楚雄师范学院,508,云南
河南工程学院,508,河南
济宁学院,510,山东
喀什大学,511,新疆
兰州文理学院,512,甘肃
赤峰学院,513,内蒙古
汉江师范学院,513,湖北
伊犁师范大学,515,新疆
贵州工程应用技术学院,516,贵州
邢台学院,517,河北
邯郸学院,518,河北
衡水学院,518,河北
晋中学院,520,山西
梧州学院,521,广西
菏泽学院,522,山东
红河学院,522,云南
甘肃民族师范学院,524,甘肃
呼伦贝尔学院,525,内蒙古
山东女子学院,526,山东
湖南人文科技学院,527,湖南
广州航海学院,528,广东
新乡学院,528,河南
百色学院,530,广西
沧州师范学院,531,河北
景德镇学院,532,江西
福建技术师范学院,533,福建
赣南科技学院,533,江西
广西民族师范学院,533,广西
荆楚理工学院,533,湖北
安阳工学院,537,河南
阿坝师范学院,538,四川
信阳农林学院,538,河南
巢湖学院,540,安徽
河北民族师范学院,541,河北
桂林航天工业学院,542,广西
长治学院,543,山西
河池学院,544,广西
河北环境工程学院,545,河北
张家口学院,546,河北
湖南工学院,547,湖南
河南工学院,548,河南
兴义民族师范学院,549,贵州
绥化学院,550,黑龙江
温州理工学院,551,浙江
保山学院,552,云南
山东青年政治学院,553,山东
长沙师范学院,554,湖南
枣庄学院,555,山东
郑州工程技术学院,555,河南
运城学院,557,山西
文山学院,558,云南
吕梁学院,559,山西
新疆工程学院,560,新疆
普洱学院,561,云南
萍乡学院,562,江西
集宁师范学院,563,内蒙古
滇西科技师范学院,564,云南
太原工业学院,565,山西
新疆理工学院,566,新疆
广西科技师范学院,567,广西
昭通学院,568,云南
忻州师范学院,569,山西
河北石油职业技术大学,570,河北
昌吉学院,571,新疆
琼台师范学院,572,海南
鄂尔多斯应用技术学院,573,内蒙古
黑龙江工业学院,574,黑龙江
新疆政法学院,575,新疆
山西能源学院,576,山西
赣东学院,577,江西
河套学院,578,内蒙古
亳州学院,579,安徽
豫章师范学院,580,江西
山西工程技术学院,581,山西
太原学院,582,山西
